Index,Riding Number,Winning Party,Conservative Vote Margin,Conservative Vote Percentage,Category
1,48002,Conservative,0.8037844772289929,0.8548588838999358,None
2,48003,Conservative,0.7817838876999528,0.8393304073415793,None
3,48025,Conservative,0.774358261836118,0.8391052137969364,None
4,48024,Conservative,0.769986388756785,0.8396005182111874,None
5,47013,Conservative,0.7666185318892901,0.843971119133574,None
6,48022,Conservative,0.7625436416581542,0.8213321949657727,None
7,48034,Conservative,0.7516080617495712,0.8212550028587764,None
8,48028,Conservative,0.7313403938120776,0.8065790237952332,None
9,48029,Conservative,0.7308160600859628,0.8033710337543458,None
10,47002,Conservative,0.71518937914877,0.8106208512299883,None
11,48030,Conservative,0.7091957772374118,0.798336397603938,None
12,48027,Conservative,0.7044179126963204,0.7917780874543332,None
13,48023,Conservative,0.7034290646578782,0.7985326428123039,None
14,48033,Conservative,0.6742939540032334,0.7753761451854873,None
15,47001,Conservative,0.6680997180424891,0.782501884369504,None
16,47004,Conservative,0.6624841487018621,0.7856237068677835,None
17,48011,Conservative,0.6394932173022779,0.7501151778858459,None
18,47014,Conservative,0.6390672960354922,0.7615104851814594,None
19,48008,Conservative,0.6322993772764657,0.7425537539654564,None
20,48032,Conservative,0.6123613963039015,0.7337440109514032,None
21,48001,Conservative,0.6029585040983607,0.710860655737705,None
22,46007,Conservative,0.6008826955820414,0.7079487409266063,None
23,48021,Conservative,0.6008118460922761,0.7243267966382712,None
24,59024,Conservative,0.5819441673166572,0.6978722632371347,None
25,48007,Conservative,0.5676167374166161,0.7072164948453609,None
26,48012,Conservative,0.5466303286177888,0.6997857525441885,None
27,47005,Conservative,0.5409256624577627,0.7112084296638805,None
28,48009,Conservative,0.5403279755555154,0.697680305194453,None
29,46008,Conservative,0.52735741641652,0.6587516820204947,None
30,48026,Conservative,0.5106977796451311,0.65791344817556,None
31,47006,Conservative,0.5027952656761521,0.6771845882649207,None
32,46004,Conservative,0.5023665138293152,0.6434699009022334,None
33,48010,Conservative,0.4988110403397028,0.6829865534324133,None
34,46001,Conservative,0.4936902392855409,0.6345677813910595,None
35,46010,Conservative,0.4482883754687311,0.6271722914398613,None
36,47008,Conservative,0.4329247838988517,0.631221777835118,None
37,48031,Conservative,0.41524942004270937,0.6069349065154936,None
38,48020,Conservative,0.40772576106421077,0.609175407180012,None
39,48006,Conservative,0.378215393854469,0.5956610949854869,None
40,48018,Conservative,0.34486818865702884,0.5744423366258913,None
41,48016,Conservative,0.3444832659065833,0.5594887826406767,None
42,35086,Conservative,0.33156368200552944,0.5271638651898841,None
43,59004,Conservative,0.3270894950158834,0.5266732391280534,None
44,48005,Conservative,0.3248345777939659,0.5510835913312694,None
45,59001,Conservative,0.298389733529508,0.5141817884583947,None
46,48004,Conservative,0.2965960160330378,0.566409571237702,None
47,59006,Conservative,0.2943726165007906,0.49617709980466934,None
48,35102,Conservative,0.28316359777326805,0.5394798086053136,None
49,35080,Conservative,0.2792530915898901,0.48135192392964476,None
50,47010,Conservative,0.2763809947612209,0.5326968587552338,None
51,35091,Conservative,0.27589957870018644,0.49421576075695833,None
52,24010,Conservative,0.2719909382903781,0.5009232392508572,None
53,35025,Conservative,0.2704602131036046,0.5024127991709039,None
54,48015,Conservative,0.26233417796989117,0.5135958094670272,None
55,59020,Conservative,0.2612583451345337,0.4876121114033313,None
56,13010,Conservative,0.2512499672783435,0.503363786288317,None
57,48013,Conservative,0.2414543440417788,0.5248654850451021,None
58,47007,Conservative,0.23871430232107566,0.5248188475994885,None
59,35048,Conservative,0.236886256248716,0.4904985276997877,None
60,13008,Conservative,0.23601495780484105,0.4914599019657385,None
61,24047,Conservative,0.2345499705312789,0.4923802306979877,None
62,35049,Conservative,0.23424721115219024,0.48137833901506055,None
63,35034,Conservative,0.23099148418491483,0.49052615571776154,None
64,59005,Conservative,0.2291984291984292,0.4794794794794795,None
65,35050,Conservative,0.22493285203496827,0.48979522009135545,None
66,47011,Conservative,0.22370127798924028,0.5212750122270186,None
67,24045,Conservative,0.2227696343862967,0.446591723738198,None
